val_geracaoprogramada;val_geracaoverificada;val_capacidadeinstalada;val_fatorcapacidade
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
15.5;0.0;278.397;0.0
102.5;0.0;278.397;0.0
163.5;0.0;278.397;0.0
183.5;0.0;278.397;0.0
182.5;0.0;278.397;0.0
175.0;0.0;278.397;0.0
164.5;0.0;278.397;0.0
147.5;0.0;278.397;0.0
129.0;0.0;278.397;0.0
101.5;0.0;278.397;0.0
79.5;0.0;278.397;0.0
59.0;0.0;278.397;0.0
5.5;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
7.5;8.831;278.397;0.031720887796923
88.0;129.5;278.397;0.4651630585099695
149.0;235.896;278.397;0.8473367169904849
174.5;207.779;278.397;0.7463406574065093
173.0;240.884;278.397;0.8652535767267607
171.5;231.088;278.397;0.8300664159455741
176.5;206.112;278.397;0.7403528055259216
160.5;189.096;278.397;0.6792314572355305
134.0;216.957;278.397;0.7793079666806754
103.0;271.236;278.397;0.974277740061854
79.5;143.267;278.397;0.5146140224212186
58.5;161.075;278.397;0.5785802289536165
4.5;14.841;278.397;0.0533087641030614
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
14.0;7.332;278.397;0.0263364906949428
102.0;54.946;278.397;0.1973656325319597
165.5;84.691;278.397;0.3042094562800604
185.5;188.823;278.397;0.6782508432202933
189.5;228.772;278.397;0.8217473607833417
191.0;205.083;278.397;0.7366566450069505
199.5;127.936;278.397;0.4595451818805518
197.0;193.071;278.397;0.6935096283365122
183.0;227.783;278.397;0.8181948799735629
163.5;210.561;278.397;0.7563335811808316
137.0;147.784;278.397;0.5308390535817555
88.5;159.171;278.397;0.5717410747960646
6.5;15.823;278.397;0.0568361009637316
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
10.0;4.35;278.397;0.0156251683746592
114.0;131.021;278.397;0.4706264794520055
179.0;218.448;278.397;0.7846636278408172
205.0;222.114;278.397;0.7978318731882886
207.0;247.892;278.397;0.8904262617772462
207.0;221.192;278.397;0.7945200558914068
214.0;211.568;278.397;0.759950717859747
213.5;227.246;278.397;0.8162659798776567
197.5;231.715;278.397;0.8323185953871629
177.0;213.259;278.397;0.7660247775658502
150.5;214.921;278.397;0.7719946694827889
98.0;172.945;278.397;0.6212171826564223
7.0;23.468;278.397;0.0842968853831039
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
10.5;7.73;278.397;0.0277661038014059
107.5;147.319;278.397;0.5291687769623954
165.0;237.589;278.397;0.8534179606820474
196.0;248.661;278.397;0.8931885041864674
209.0;231.242;278.397;0.8306195828259643
214.0;239.744;278.397;0.861158705014781
219.0;212.098;278.397;0.7618544740065446
218.5;231.315;278.397;0.8308817982952402
207.5;239.571;278.397;0.8605372902725243
198.0;239.946;278.397;0.861884287546202
171.5;230.386;278.397;0.8275448370492497
109.0;173.501;278.397;0.6232143306141948
8.0;14.829;278.397;0.0532656601903037
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
7.5;3.389;278.397;0.0121732633613149
86.5;115.945;278.397;0.4164735970574395
154.5;237.497;278.397;0.8530874973509053
187.0;211.778;278.397;0.7607050363330063
199.0;172.393;278.397;0.6192344026695689
205.5;247.955;278.397;0.8906525573192239
211.0;249.141;278.397;0.8949126606967747
215.5;196.123;278.397;0.7044723901478823
204.0;235.298;278.397;0.8451887053380603
164.0;154.445;278.397;0.554765317154998
117.5;238.776;278.397;0.857681656052328
72.0;176.887;278.397;0.6353768179973203
6.0;26.885;278.397;0.0965707245408535
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
9.5;8.782;278.397;0.0315448801531625
107.5;136.96;278.397;0.4919593242743276
174.5;235.371;278.397;0.8454509208073362
209.0;210.558;278.397;0.7563228052026422
207.0;248.614;278.397;0.8930196805281666
209.0;257.761;278.397;0.9258756380277086
217.0;248.153;278.397;0.8913637718797257
225.0;260.883;278.397;0.9370898393301652
215.0;266.858;278.397;0.9585519958907605
198.0;211.776;278.397;0.7606978523475468
169.5;124.296;278.397;0.4464703283440554
109.0;87.768;278.397;0.3152620179096757
8.0;11.363;278.397;0.0408158133887937
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
8.5;4.782;278.397;0.0171769092339357
100.5;130.224;278.397;0.4677636612463496
136.0;208.011;278.397;0.7471739997198245
143.0;202.26;278.397;0.7265164495307062
145.5;229.593;278.397;0.824696386814513
171.5;252.99;278.397;0.9087382407138008
192.5;229.145;278.397;0.8230871740715596
195.0;192.653;278.397;0.692008175375453
191.5;169.769;278.397;0.609809013746556
185.0;217.772;278.397;0.7822354407554679
171.0;223.752;278.397;0.803715557279712
109.0;170.873;278.397;0.6137745737202627
15.5;28.322;278.397;0.1017324180935857
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
