din_instante;val_geracaoprogramada;val_geracaoverificada;val_capacidadeinstalada;val_fatorcapacidade
2023-03-01 00:00:00;0.0;0.0;278.397;0.0
2023-03-01 01:00:00;0.0;0.0;278.397;0.0
2023-03-01 02:00:00;0.0;0.0;278.397;0.0
2023-03-01 03:00:00;0.0;0.0;278.397;0.0
2023-03-01 04:00:00;0.0;0.0;278.397;0.0
2023-03-01 05:00:00;3.0;1.176;278.397;0.0042241834502526
2023-03-01 06:00:00;92.5;109.158;278.397;0.3920947424002413
2023-03-01 07:00:00;169.5;240.999;278.397;0.8656666558906884
2023-03-01 08:00:00;200.0;272.796;278.397;0.9798812487203524
2023-03-01 09:00:00;204.5;272.305;278.397;0.9781175802900174
2023-03-01 10:00:00;208.5;271.268;278.397;0.974392683829208
2023-03-01 11:00:00;211.0;257.786;278.397;0.9259654378459536
2023-03-01 12:00:00;214.0;254.76;278.397;0.9150960678455586
2023-03-01 13:00:00;208.0;224.763;278.397;0.8073470619295466
2023-03-01 14:00:00;182.0;183.41;278.397;0.6588073865738495
2023-03-01 15:00:00;135.0;172.865;278.397;0.6209298232380377
2023-03-01 16:00:00;68.5;54.179;278.397;0.194610574108198
2023-03-01 17:00:00;10.5;2.183;278.397;0.007841320129168
2023-03-01 18:00:00;0.0;0.0;278.397;0.0
2023-03-01 19:00:00;0.0;0.0;278.397;0.0
2023-03-01 20:00:00;0.0;0.0;278.397;0.0
2023-03-01 21:00:00;0.0;0.0;278.397;0.0
2023-03-01 22:00:00;0.0;0.0;278.397;0.0
2023-03-01 23:00:00;0.0;0.0;278.397;0.0
2023-03-02 00:00:00;0.0;0.0;278.397;0.0
2023-03-02 01:00:00;0.0;0.0;278.397;0.0
2023-03-02 02:00:00;0.0;0.0;278.397;0.0
2023-03-02 03:00:00;0.0;0.0;278.397;0.0
2023-03-02 04:00:00;0.0;0.0;278.397;0.0
2023-03-02 05:00:00;2.5;0.318;278.397;0.0011422536880785
2023-03-02 06:00:00;80.0;99.644;278.397;0.3579205235688602
2023-03-02 07:00:00;176.5;89.463;278.397;0.3213504455866981
2023-03-02 08:00:00;223.5;40.996;278.397;0.147257333951156
2023-03-02 09:00:00;230.0;40.769;278.397;0.1464419516014899
2023-03-02 10:00:00;229.0;245.377;278.397;0.8813924000617822
2023-03-02 11:00:00;227.0;206.319;278.397;0.7410963480209916
2023-03-02 12:00:00;225.5;135.861;278.397;0.48801172426427
2023-03-02 13:00:00;213.0;175.419;278.397;0.6301037726699641
2023-03-02 14:00:00;174.5;150.944;278.397;0.5421897506079447
2023-03-02 15:00:00;119.0;104.341;278.397;0.3747921134207624
2023-03-02 16:00:00;55.0;46.114;278.397;0.1656411527423068
2023-03-02 17:00:00;9.0;3.812;278.397;0.0136926762860231
2023-03-02 18:00:00;0.0;0.0;278.397;0.0
2023-03-02 19:00:00;0.0;0.0;278.397;0.0
2023-03-02 20:00:00;0.0;0.0;278.397;0.0
2023-03-02 21:00:00;0.0;0.0;278.397;0.0
2023-03-02 22:00:00;0.0;0.0;278.397;0.0
2023-03-02 23:00:00;0.0;0.0;278.397;0.0
2023-03-03 00:00:00;0.0;0.0;278.397;0.0
2023-03-03 01:00:00;0.0;0.0;278.397;0.0
2023-03-03 02:00:00;0.0;0.0;278.397;0.0
2023-03-03 03:00:00;0.0;0.0;278.397;0.0
2023-03-03 04:00:00;0.0;0.0;278.397;0.0
2023-03-03 05:00:00;2.0;0.386;278.397;0.0013865091937053
2023-03-03 06:00:00;78.5;3.601;278.397;0.0129347658200339
2023-03-03 07:00:00;166.0;0.0;278.397;0.0
2023-03-03 08:00:00;200.0;93.241;278.397;0.3349209941199079
2023-03-03 09:00:00;198.0;202.895;278.397;0.7287973649141334
2023-03-03 10:00:00;196.0;232.198;278.397;0.8340535278756595
2023-03-03 11:00:00;193.0;164.326;278.397;0.5902577973182181
2023-03-03 12:00:00;182.0;202.712;278.397;0.7281400302445787
2023-03-03 13:00:00;161.5;161.977;278.397;0.5818202063959022
2023-03-03 14:00:00;129.5;79.22;278.397;0.2845576640552879
2023-03-03 15:00:00;87.0;38.194;278.397;0.1371925703222376
2023-03-03 16:00:00;42.0;29.028;278.397;0.1042683649608293
2023-03-03 17:00:00;9.0;6.751;278.397;0.0242495429189251
2023-03-03 18:00:00;0.0;0.0;278.397;0.0
2023-03-03 19:00:00;0.0;0.0;278.397;0.0
2023-03-03 20:00:00;0.0;0.0;278.397;0.0
2023-03-03 21:00:00;0.0;0.0;278.397;0.0
2023-03-03 22:00:00;0.0;0.0;278.397;0.0
2023-03-03 23:00:00;0.0;0.0;278.397;0.0
2023-03-04 00:00:00;0.0;0.0;278.397;0.0
2023-03-04 01:00:00;0.0;0.0;278.397;0.0
2023-03-04 02:00:00;0.0;0.0;278.397;0.0
2023-03-04 03:00:00;0.0;0.0;278.397;0.0
2023-03-04 04:00:00;0.0;0.0;278.397;0.0
2023-03-04 05:00:00;1.5;0.0;278.397;0.0
2023-03-04 06:00:00;71.0;0.0;278.397;0.0
2023-03-04 07:00:00;158.5;0.0;278.397;0.0
2023-03-04 08:00:00;201.5;0.0;278.397;0.0
2023-03-04 09:00:00;209.0;7.264;278.397;0.0260922351893159
2023-03-04 10:00:00;212.5;69.079;278.397;0.248131265782318
2023-03-04 11:00:00;213.5;134.04;278.397;0.481470705503292
2023-03-04 12:00:00;203.0;170.697;278.397;0.6131423829998168
2023-03-04 13:00:00;181.5;223.016;278.397;0.8010718506305743
2023-03-04 14:00:00;144.5;233.868;278.397;0.8400521557344367
2023-03-04 15:00:00;96.5;175.32;278.397;0.6297481653897132
2023-03-04 16:00:00;46.5;171.032;278.397;0.614345700564302
2023-03-04 17:00:00;9.0;26.173;278.397;0.0940132257172311
2023-03-04 18:00:00;0.0;0.0;278.397;0.0
2023-03-04 19:00:00;0.0;0.0;278.397;0.0
2023-03-04 20:00:00;0.0;0.0;278.397;0.0
2023-03-04 21:00:00;0.0;0.0;278.397;0.0
2023-03-04 22:00:00;0.0;0.0;278.397;0.0
2023-03-04 23:00:00;0.0;0.0;278.397;0.0
2023-03-05 00:00:00;0.0;0.0;278.397;0.0
2023-03-05 01:00:00;0.0;0.0;278.397;0.0
2023-03-05 02:00:00;0.0;0.0;278.397;0.0
2023-03-05 03:00:00;0.0;0.0;278.397;0.0
2023-03-05 04:00:00;0.0;0.0;278.397;0.0
2023-03-05 05:00:00;3.0;0.0;278.397;0.0
2023-03-05 06:00:00;91.0;0.0;278.397;0.0
2023-03-05 07:00:00;181.0;0.0;278.397;0.0
2023-03-05 08:00:00;219.5;0.0;278.397;0.0
2023-03-05 09:00:00;224.0;179.807;278.397;0.645865436768356
2023-03-05 10:00:00;224.5;236.954;278.397;0.8511370452986203
2023-03-05 11:00:00;221.5;194.391;278.397;0.698251058739857
2023-03-05 12:00:00;220.0;217.653;278.397;0.7818079936206209
2023-03-05 13:00:00;211.5;236.167;278.397;0.8483101470202624
2023-03-05 14:00:00;178.0;229.358;278.397;0.8238522685230085
2023-03-05 15:00:00;122.5;205.194;278.397;0.737055356199959
2023-03-05 16:00:00;54.0;124.08;278.397;0.4456944579144171
2023-03-05 17:00:00;8.0;7.298;278.397;0.0262143629421294
2023-03-05 18:00:00;0.0;0.0;278.397;0.0
2023-03-05 19:00:00;0.0;0.0;278.397;0.0
2023-03-05 20:00:00;0.0;0.0;278.397;0.0
2023-03-05 21:00:00;0.0;0.0;278.397;0.0
2023-03-05 22:00:00;0.0;0.0;278.397;0.0
