val_geracaoprogramada;val_geracaoverificada;val_capacidadeinstalada;val_fatorcapacidade
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
1.5;0.374;278.397;0.0013434052809477
72.5;68.663;278.397;0.2466369968067184
163.0;221.63;278.397;0.7960933487070622
209.5;230.028;278.397;0.826258903651979
223.5;219.727;278.397;0.78925778654224
228.0;144.394;278.397;0.5186621982277106
224.0;187.237;278.397;0.6725539427508198
216.0;144.491;278.397;0.519010621522502
210.5;181.57;278.397;0.6521981199510052
199.0;145.669;278.397;0.5232419889582143
161.5;53.852;278.397;0.1934359924855512
87.0;50.748;278.397;0.1822864470522311
4.5;4.604;278.397;0.0165375345280301
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
2.0;0.0;278.397;0.0
80.5;0.0;278.397;0.0
167.0;8.544;278.397;0.0306899858834685
209.0;76.264;278.397;0.2739397335459793
221.5;171.498;278.397;0.6160195691763919
223.0;230.573;278.397;0.8282165396897236
218.0;212.81;278.397;0.7644119728301669
214.5;227.292;278.397;0.8164312115432278
209.0;225.513;278.397;0.8100410564769016
193.5;195.71;278.397;0.7029888971504721
153.5;217.887;278.397;0.7826485199193955
80.5;126.637;278.397;0.4548791833245329
3.0;6.889;278.397;0.0247452379156384
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
2.0;0.021;278.397;7.54318473259e-05
79.0;24.902;278.397;0.0894478029576468
163.5;174.866;278.397;0.628117400690381
202.5;223.995;278.397;0.804588411513055
211.5;204.275;278.397;0.7337543148812666
214.5;203.56;278.397;0.7311860400794548
214.5;228.715;278.397;0.8215426171977427
211.5;181.407;278.397;0.6516126251360467
209.5;193.612;278.397;0.6954528964033376
199.5;231.409;278.397;0.831219445611842
163.0;225.408;278.397;0.8096638972402719
87.5;122.006;278.397;0.438244664992798
4.0;8.279;278.397;0.0297381078100697
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.535;278.397;0.0019217161104465
32.5;90.488;278.397;0.32503223813475
124.5;228.404;278.397;0.8204255074587729
192.0;254.093;278.397;0.9127002086947776
219.0;262.465;278.397;0.9427723718287194
220.5;265.653;278.397;0.9542236446513432
211.5;265.429;278.397;0.9534190382798664
203.0;266.049;278.397;0.9556460737723466
197.5;261.178;278.397;0.938149477185458
190.0;232.929;278.397;0.8366792745611482
158.0;227.708;278.397;0.8179254805188274
88.5;131.889;278.397;0.4737443291414778
6.0;5.957;278.397;0.0213975006914586
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
1.5;0.77;278.397;0.0027658344019511
76.0;93.646;278.397;0.3363757511754796
172.5;229.227;278.397;0.8233817174754038
217.0;257.076;278.397;0.923415123007791
222.5;265.969;278.397;0.955358714353962
224.5;268.414;278.397;0.9641411365783396
223.5;267.846;278.397;0.9621008847078092
214.5;239.437;278.397;0.8600559632467303
208.0;250.301;278.397;0.8990793722633506
196.0;250.739;278.397;0.9006526650790058
159.0;226.823;278.397;0.8147465669529484
86.0;128.705;278.397;0.4623074242897732
5.0;7.595;278.397;0.0272811847828819
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
2.0;0.87;278.397;0.0031250336749318
82.0;53.318;278.397;0.1915178683678344
177.5;219.126;278.397;0.7870989989116262
222.0;233.527;278.397;0.8388272862135727
228.5;259.482;278.397;0.932057457515706
223.0;246.123;278.397;0.884072026638218
213.5;168.994;278.397;0.6070252193809559
202.0;166.916;278.397;0.5995610584884176
187.0;138.11;278.397;0.4960901159136053
175.0;52.064;278.397;0.1870135094846568
146.0;25.268;278.397;0.090762472296756
82.0;23.735;278.397;0.0852559474419623
4.0;2.067;278.397;0.0074246489725104
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
2.0;0.178;278.397;0.0006393747059055
81.5;66.291;278.397;0.2381167900516169
167.5;186.397;278.397;0.6695366688577822
208.0;204.254;278.397;0.7336788830339407
218.0;209.683;278.397;0.7531798115640613
221.5;214.504;278.397;0.7704968085144595
222.0;147.521;278.397;0.5298943594938162
218.0;184.862;278.397;0.6640229600175289
209.5;200.582;278.397;0.7204890857300904
197.5;189.176;278.397;0.679518816653915
162.0;185.536;278.397;0.6664439631174186
87.5;71.216;278.397;0.255807354245915
4.5;4.178;278.397;0.0150073456251324
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
2.0;0.366;278.397;0.0013146693391092
79.0;75.184;278.397;0.270060381397788
167.5;214.609;278.397;0.7708739677510892
211.5;232.531;278.397;0.8352496614546852
223.5;182.981;278.397;0.6572664216927624
224.5;183.215;278.397;0.6581069479915372
219.5;154.162;278.397;0.5537487832124627
212.0;174.454;278.397;0.6266374996857006
203.0;195.83;278.397;0.7034199362780489
182.5;195.015;278.397;0.7004924622032564
141.0;189.546;278.397;0.6808478539639435
71.5;90.485;278.397;0.3250214621565605
2.5;6.108;278.397;0.0219398915936594
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
