din_instante;val_geracaoprogramada;val_geracaoverificada;val_capacidadeinstalada;val_fatorcapacidade
2022-02-01 00:00:00;0.0;0.0;278.397;0.0
2022-02-01 01:00:00;0.0;0.0;278.397;0.0
2022-02-01 02:00:00;0.0;0.0;278.397;0.0
2022-02-01 03:00:00;0.0;0.0;278.397;0.0
2022-02-01 04:00:00;0.0;0.0;278.397;0.0
2022-02-01 05:00:00;0.0;2.232;278.397;0.0080173277729285
2022-02-01 06:00:00;70.0;116.576;278.397;0.4187401444699475
2022-02-01 07:00:00;220.0;251.417;278.397;0.9030880361498148
2022-02-01 08:00:00;252.0;272.12;278.397;0.9774530616350032
2022-02-01 09:00:00;256.0;263.394;278.397;0.9461093330747098
2022-02-01 10:00:00;256.0;265.566;278.397;0.95391114128385
2022-02-01 11:00:00;256.0;253.303;278.397;0.9098625344382302
2022-02-01 12:00:00;253.5;240.073;278.397;0.8623404706228874
2022-02-01 13:00:00;239.5;229.052;278.397;0.8227531187476876
2022-02-01 14:00:00;221.5;253.915;278.397;0.912060833988872
2022-02-01 15:00:00;187.5;254.039;278.397;0.912506241087368
2022-02-01 16:00:00;113.5;192.124;278.397;0.6901080112213852
2022-02-01 17:00:00;18.0;36.607;278.397;0.1314920778600344
2022-02-01 18:00:00;0.0;0.0;278.397;0.0
2022-02-01 19:00:00;0.0;0.0;278.397;0.0
2022-02-01 20:00:00;0.0;0.0;278.397;0.0
2022-02-01 21:00:00;0.0;0.0;278.397;0.0
2022-02-01 22:00:00;0.0;0.0;278.397;0.0
2022-02-01 23:00:00;0.0;0.0;278.397;0.0
2022-02-02 00:00:00;0.0;0.0;278.397;0.0
2022-02-02 01:00:00;0.0;0.0;278.397;0.0
2022-02-02 02:00:00;0.0;0.0;278.397;0.0
2022-02-02 03:00:00;0.0;0.0;278.397;0.0
2022-02-02 04:00:00;0.0;0.0;278.397;0.0
2022-02-02 05:00:00;0.0;2.294;278.397;0.0082400313221766
2022-02-02 06:00:00;88.0;60.656;278.397;0.217875911019156
2022-02-02 07:00:00;241.0;190.082;278.397;0.6827731620671199
2022-02-02 08:00:00;264.0;231.656;278.397;0.8321066678161043
2022-02-02 09:00:00;264.0;266.491;278.397;0.9572337345589212
2022-02-02 10:00:00;264.0;248.429;278.397;0.8923551618731523
2022-02-02 11:00:00;264.0;240.616;278.397;0.8642909226751725
2022-02-02 12:00:00;264.0;245.637;278.397;0.882326318171532
2022-02-02 13:00:00;264.0;264.375;278.397;0.9496330779426502
2022-02-02 14:00:00;264.0;271.848;278.397;0.9764760396124958
2022-02-02 15:00:00;258.5;244.801;278.397;0.8793234122494136
2022-02-02 16:00:00;190.5;77.04;278.397;0.2767271199043093
2022-02-02 17:00:00;21.5;8.5;278.397;0.030531938203357
2022-02-02 18:00:00;0.0;0.0;278.397;0.0
2022-02-02 19:00:00;0.0;0.0;278.397;0.0
2022-02-02 20:00:00;0.0;0.0;278.397;0.0
2022-02-02 21:00:00;0.0;0.0;278.397;0.0
2022-02-02 22:00:00;0.0;0.0;278.397;0.0
2022-02-02 23:00:00;0.0;0.0;278.397;0.0
2022-02-03 00:00:00;0.0;0.0;278.397;0.0
2022-02-03 01:00:00;0.0;0.0;278.397;0.0
2022-02-03 02:00:00;0.0;0.0;278.397;0.0
2022-02-03 03:00:00;0.0;0.0;278.397;0.0
2022-02-03 04:00:00;0.0;0.0;278.397;0.0
2022-02-03 05:00:00;1.0;1.54;278.397;0.0055316688039023
2022-02-03 06:00:00;75.0;97.746;278.397;0.3511029213676871
2022-02-03 07:00:00;216.5;239.239;278.397;0.8593447486862286
2022-02-03 08:00:00;228.0;264.677;278.397;0.9507178597470518
2022-02-03 09:00:00;228.0;236.337;278.397;0.8489207857843295
2022-02-03 10:00:00;228.0;233.734;278.397;0.8395708287086426
2022-02-03 11:00:00;228.0;222.13;278.397;0.7978893450719655
2022-02-03 12:00:00;228.0;229.302;278.397;0.8236511169301393
2022-02-03 13:00:00;228.0;241.071;278.397;0.8659252793672345
2022-02-03 14:00:00;228.0;226.326;278.397;0.8129613465662345
2022-02-03 15:00:00;228.0;233.522;278.397;0.8388093262499235
2022-02-03 16:00:00;161.0;180.905;278.397;0.6498094447856837
2022-02-03 17:00:00;22.0;40.513;278.397;0.1455224014626594
2022-02-03 18:00:00;0.0;0.0;278.397;0.0
2022-02-03 19:00:00;0.0;0.0;278.397;0.0
2022-02-03 20:00:00;0.0;0.0;278.397;0.0
2022-02-03 21:00:00;0.0;0.0;278.397;0.0
2022-02-03 22:00:00;0.0;0.0;278.397;0.0
2022-02-03 23:00:00;0.0;0.0;278.397;0.0
2022-02-04 00:00:00;0.0;0.0;278.397;0.0
2022-02-04 01:00:00;0.0;0.0;278.397;0.0
2022-02-04 02:00:00;0.0;0.0;278.397;0.0
2022-02-04 03:00:00;0.0;0.0;278.397;0.0
2022-02-04 04:00:00;0.0;0.0;278.397;0.0
2022-02-04 05:00:00;1.5;0.698;278.397;0.002507210925405
2022-02-04 06:00:00;70.5;66.726;278.397;0.2396793068890828
2022-02-04 07:00:00;197.5;177.67;278.397;0.638189348304759
2022-02-04 08:00:00;226.0;198.254;278.397;0.7121269266551004
2022-02-04 09:00:00;228.0;166.298;278.397;0.597341206981397
2022-02-04 10:00:00;228.0;171.619;278.397;0.6164542002966985
2022-02-04 11:00:00;228.0;218.88;278.397;0.7862153687000937
2022-02-04 12:00:00;228.0;212.622;278.397;0.7637366781969633
2022-02-04 13:00:00;228.0;208.703;278.397;0.7496596586888508
2022-02-04 14:00:00;228.0;211.656;278.397;0.76026681321997
2022-02-04 15:00:00;220.0;173.717;278.397;0.623990201043833
2022-02-04 16:00:00;126.5;177.586;278.397;0.6378876209154551
2022-02-04 17:00:00;18.5;23.76;278.397;0.0853457472602075
2022-02-04 18:00:00;0.0;0.0;278.397;0.0
2022-02-04 19:00:00;0.0;0.0;278.397;0.0
2022-02-04 20:00:00;0.0;0.0;278.397;0.0
2022-02-04 21:00:00;0.0;0.0;278.397;0.0
2022-02-04 22:00:00;0.0;0.0;278.397;0.0
2022-02-04 23:00:00;0.0;0.0;278.397;0.0
2022-02-05 00:00:00;0.0;0.0;278.397;0.0
2022-02-05 01:00:00;0.0;0.0;278.397;0.0
2022-02-05 02:00:00;0.0;0.0;278.397;0.0
2022-02-05 03:00:00;0.0;0.0;278.397;0.0
2022-02-05 04:00:00;0.0;0.0;278.397;0.0
2022-02-05 05:00:00;4.5;1.171;278.397;0.0042062234866036
2022-02-05 06:00:00;87.5;29.863;278.397;0.1072676788902179
2022-02-05 07:00:00;167.5;125.956;278.397;0.4524330362755345
