val_geracaoprogramada;val_geracaoverificada;val_capacidadeinstalada;val_fatorcapacidade
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
2.0;1.155;278.397;0.0041487516029267
76.0;29.187;278.397;0.1048394918048685
163.5;74.151;278.397;0.2663498529078977
203.5;119.512;278.397;0.4292862351246601
210.0;159.712;278.397;0.57368434286289
215.0;238.462;278.397;0.8565537703351688
220.0;272.761;278.397;0.9797555289748092
217.5;262.189;278.397;0.9417809818352928
203.5;263.567;278.397;0.9467307478169664
169.5;210.644;278.397;0.7566317165774056
122.0;201.594;278.397;0.7241241823726547
65.0;112.172;278.397;0.4029210084878788
7.0;5.552;278.397;0.0199427436358868
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
3.5;0.104;278.397;0.0003735672438998
97.0;99.937;278.397;0.3589729774386936
170.0;164.109;278.397;0.5894783348958501
203.0;238.679;278.397;0.8573332327575368
211.0;270.409;278.397;0.971307162074304
218.5;249.822;278.397;0.8973588077457731
224.0;241.959;278.397;0.8691149689113029
220.5;232.004;278.397;0.833356681286077
211.0;229.985;278.397;0.8261044479645973
188.5;223.025;278.397;0.8011041785651425
149.0;197.959;278.397;0.7110672887998074
89.5;108.145;278.397;0.3884560537649471
10.5;4.336;278.397;0.0155748804764419
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
3.0;3.65;278.397;0.0131107734637945
91.5;127.946;278.397;0.4595811018078499
171.5;233.258;278.397;0.8378610401692546
205.5;214.177;278.397;0.7693222268918127
207.0;154.161;278.397;0.5537451912197329
207.0;120.328;278.397;0.4322173011921823
206.5;123.241;278.397;0.4426807760141093
199.0;200.805;278.397;0.7212901001088373
188.0;141.769;278.397;0.5092332173119681
164.0;193.883;278.397;0.6964263264331152
124.5;20.781;278.397;0.0746452009181133
65.5;0.0;278.397;0.0
6.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
3.0;5.303;278.397;0.019048337446165
35.5;108.359;278.397;0.3892247402091258
0.0;118.535;278.397;0.4257768582276389
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.08;278.397;0.0002873594183845
0.0;5.635;278.397;0.0202408790324608
116.0;78.621;278.397;0.2824060604101337
173.0;166.824;278.397;0.5992305951572754
139.5;94.1;278.397;0.3380065158748118
76.5;23.201;278.397;0.0833378233242455
7.0;0.103;278.397;0.00036997525117
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
3.0;3.533;278.397;0.0126905103144071
24.5;124.242;278.397;0.4462763607366458
119.5;220.14;278.397;0.7907412795396502
113.5;207.848;278.397;0.746588504904866
96.0;181.433;278.397;0.6517060169470216
94.5;172.508;278.397;0.6196474818334967
102.0;165.553;278.397;0.594665172397691
111.5;167.521;278.397;0.6017342140899506
127.0;167.181;278.397;0.6005129365618163
140.0;172.001;278.397;0.6178263415194847
114.0;203.731;278.397;0.7318002708362518
60.5;98.255;278.397;0.3529312456671587
6.0;2.614;278.397;0.0093894689957147
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
3.5;2.256;278.397;0.0081035355984439
85.0;49.95;278.397;0.1794200368538454
23.0;39.411;278.397;0.1415640254744124
0.0;39.944;278.397;0.1434785575993994
0.0;39.94;278.397;0.1434641896284801
0.0;39.806;278.397;0.142982862602686
0.0;39.615;278.397;0.142296791991293
145.0;39.638;278.397;0.1423794078240785
204.0;100.714;278.397;0.3617639557897534
186.5;203.746;278.397;0.731854150727199
148.5;196.776;278.397;0.7068179614004461
81.0;108.298;278.397;0.3890056286526076
7.0;2.346;278.397;0.0084268149441265
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
4.0;3.798;278.397;0.0136423883878059
98.0;126.126;278.397;0.4530436750396017
170.5;227.106;278.397;0.8157631008954837
200.0;252.341;278.397;0.9064070374321562
204.0;253.934;278.397;0.9121290818507384
202.0;226.946;278.397;0.8151883820587147
191.5;207.021;278.397;0.7436179269173159
183.0;199.149;278.397;0.7153417601482774
180.5;221.069;278.397;0.7940782407856406
172.5;187.702;278.397;0.6742242193701798
140.5;130.04;278.397;0.4671027345840652
76.5;45.628;278.397;0.1638954442756207
5.5;0.471;278.397;0.0016918285757389
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
2.5;4.642;278.397;0.0166740302517627
79.0;133.438;278.397;0.4793083258799484
158.5;235.739;278.397;0.8467727741319051
196.5;264.341;278.397;0.9495109501898368
150.5;116.905;278.397;0.419921910078054
111.5;0.0;278.397;0.0
200.5;0.0;278.397;0.0
202.0;0.0;278.397;0.0
195.5;106.989;278.397;0.3843037101692906
174.5;191.305;278.397;0.6871661691756735
133.0;85.185;278.397;0.305983900688585
70.5;65.155;278.397;0.2340362863105565
5.5;1.548;278.397;0.0055604047457407
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
