val_geracaoprogramada;val_geracaoverificada;val_capacidadeinstalada;val_fatorcapacidade
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
19.0;9.775;278.397;0.0351117289338606
118.5;88.227;278.397;0.316910742572657
189.5;191.264;278.397;0.6870188974737516
216.0;148.438;278.397;0.5331882168270491
214.5;100.997;278.397;0.3627804897322887
209.0;124.863;278.397;0.4485069882218558
209.5;174.865;278.397;0.6281138086976511
199.5;70.89;278.397;0.254636364615998
177.5;58.884;278.397;0.2115108999019385
153.5;76.955;278.397;0.2764218005222757
118.0;27.183;278.397;0.0976411383743359
61.0;8.026;278.397;0.0288293336494286
2.5;1.626;278.397;0.0058405801786657
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
21.0;12.669;278.397;0.0455069558939212
149.0;84.578;278.397;0.3038035611015923
203.0;168.89;278.397;0.606651652137056
203.0;141.388;278.397;0.5078646680819118
203.0;204.425;278.397;0.7342931137907376
203.0;232.189;278.397;0.8340211999410913
203.0;198.658;278.397;0.7135780917179423
203.0;172.066;278.397;0.6180598210469223
203.0;220.947;278.397;0.7936400176726042
203.0;163.776;278.397;0.5882822013168245
198.0;162.34;278.397;0.583124099756822
102.5;119.426;278.397;0.4289773237498967
4.5;3.045;278.397;0.0109376178622614
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
24.5;8.949;278.397;0.0321447429390402
129.5;103.724;278.397;0.3725758539064716
203.0;262.048;278.397;0.94127451086039
221.0;222.432;278.397;0.7989741268763672
214.5;199.422;278.397;0.7163223741635146
209.0;209.919;278.397;0.7540275218482957
209.5;223.4;278.397;0.8024511758388201
219.5;201.961;278.397;0.7254424437044938
215.5;194.671;278.397;0.6992568167042029
191.0;180.901;278.397;0.6497950768147644
151.5;143.111;278.397;0.5140536715553687
77.5;53.796;278.397;0.193234840892682
3.5;7.498;278.397;0.0269327614880907
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
23.0;24.502;278.397;0.0880110058657241
138.5;184.499;278.397;0.662719066656609
212.5;252.242;278.397;0.9060514301519051
230.0;264.262;278.397;0.949227182764182
225.5;273.298;278.397;0.9816844290707156
223.5;268.796;278.397;0.9655132778011256
227.0;245.628;278.397;0.8822939902369638
227.5;213.203;278.397;0.765823625972981
216.5;190.258;278.397;0.6834053527875659
191.5;157.224;278.397;0.5647474649511309
148.5;165.352;278.397;0.5939431818589999
75.0;34.385;278.397;0.1235106700144038
3.0;0.073;278.397;0.0002622154692758
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
21.0;21.845;278.397;0.0784670811826276
136.5;178.269;278.397;0.6403409519499133
215.0;261.436;278.397;0.9390762113097484
236.5;271.165;278.397;0.9740227085780379
233.5;261.526;278.397;0.9393994906554308
230.5;269.023;278.397;0.9663286601507918
232.5;245.547;278.397;0.8820030388258494
231.0;228.202;278.397;0.8196999249273519
218.5;195.771;278.397;0.7032080087069903
194.0;152.527;278.397;0.5478758750992287
151.0;149.486;278.397;0.5369526252078864
77.0;111.56;278.397;0.4007227089372371
3.5;3.449;278.397;0.0123887829251033
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
22.0;23.227;278.397;0.0834312151352205
140.0;181.148;278.397;0.6506822990190267
219.5;245.594;278.397;0.8821718624841502
243.5;179.175;278.397;0.643595297363118
243.0;207.974;278.397;0.7470410959888217
240.5;239.543;278.397;0.8604367144760899
236.5;219.869;278.397;0.7897678495098726
228.0;223.499;278.397;0.8028067831190709
215.5;119.659;278.397;0.4298142580559416
186.0;163.511;278.397;0.5873303232434257
136.0;128.664;278.397;0.4621601525878511
65.5;33.411;278.397;0.1200120690955721
3.5;0.561;278.397;0.0020151079214215
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
20.5;0.0;278.397;0.0
126.5;139.98;278.397;0.5028071423183439
196.5;226.97;278.397;0.81527458988423
214.0;235.575;278.397;0.8461836873242168
208.0;270.97;278.397;0.9733222699957256
203.5;270.97;278.397;0.9733222699957256
203.0;270.97;278.397;0.9733222699957256
201.0;365.325;278.397;1.312244744016638
194.0;460.57;278.397;1.6543640915670785
168.0;458.593;278.397;1.6472627219402507
122.0;420.524;278.397;1.5105191507092388
56.0;347.761;278.397;1.2491549837103129
2.5;228.619;278.397;0.8211977858956813
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
23.0;21.541;278.397;0.0773751153927664
155.0;177.394;278.397;0.6371979583113323
230.0;254.528;278.397;0.9142627255322436
242.0;269.927;278.397;0.9695758215785372
235.5;272.202;278.397;0.9777476050388474
234.0;264.671;278.397;0.950696307790673
236.0;210.274;278.397;0.7553026792673772
233.5;206.146;278.397;0.740474933278735
226.5;205.231;278.397;0.7371882599309618
208.5;128.879;278.397;0.4629324310247596
164.5;139.915;278.397;0.5025736627909065
79.5;112.171;278.397;0.402917416495149
3.5;5.091;278.397;0.0182868349874459
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
