din_instante;val_geracaoprogramada;val_geracaoverificada;val_capacidadeinstalada;val_fatorcapacidade
2024-05-01 00:00:00;0.0;0.0;278.397;0.0
2024-05-01 01:00:00;0.0;0.0;278.397;0.0
2024-05-01 02:00:00;0.0;0.0;278.397;0.0
2024-05-01 03:00:00;0.0;0.0;278.397;0.0
2024-05-01 04:00:00;0.0;0.0;278.397;0.0
2024-05-01 05:00:00;2.0;1.155;278.397;0.0041487516029267
2024-05-01 06:00:00;76.0;29.187;278.397;0.1048394918048685
2024-05-01 07:00:00;163.5;74.151;278.397;0.2663498529078977
2024-05-01 08:00:00;203.5;119.512;278.397;0.4292862351246601
2024-05-01 09:00:00;210.0;159.712;278.397;0.57368434286289
2024-05-01 10:00:00;215.0;238.462;278.397;0.8565537703351688
2024-05-01 11:00:00;220.0;272.761;278.397;0.9797555289748092
2024-05-01 12:00:00;217.5;262.189;278.397;0.9417809818352928
2024-05-01 13:00:00;203.5;263.567;278.397;0.9467307478169664
2024-05-01 14:00:00;169.5;210.644;278.397;0.7566317165774056
2024-05-01 15:00:00;122.0;201.594;278.397;0.7241241823726547
2024-05-01 16:00:00;65.0;112.172;278.397;0.4029210084878788
2024-05-01 17:00:00;7.0;5.552;278.397;0.0199427436358868
2024-05-01 18:00:00;0.0;0.0;278.397;0.0
2024-05-01 19:00:00;0.0;0.0;278.397;0.0
2024-05-01 20:00:00;0.0;0.0;278.397;0.0
2024-05-01 21:00:00;0.0;0.0;278.397;0.0
2024-05-01 22:00:00;0.0;0.0;278.397;0.0
2024-05-01 23:00:00;0.0;0.0;278.397;0.0
2024-05-02 00:00:00;0.0;0.0;278.397;0.0
2024-05-02 01:00:00;0.0;0.0;278.397;0.0
2024-05-02 02:00:00;0.0;0.0;278.397;0.0
2024-05-02 03:00:00;0.0;0.0;278.397;0.0
2024-05-02 04:00:00;0.0;0.0;278.397;0.0
2024-05-02 05:00:00;3.5;0.104;278.397;0.0003735672438998
2024-05-02 06:00:00;97.0;99.937;278.397;0.3589729774386936
2024-05-02 07:00:00;170.0;164.109;278.397;0.5894783348958501
2024-05-02 08:00:00;203.0;238.679;278.397;0.8573332327575368
2024-05-02 09:00:00;211.0;270.409;278.397;0.971307162074304
2024-05-02 10:00:00;218.5;249.822;278.397;0.8973588077457731
2024-05-02 11:00:00;224.0;241.959;278.397;0.8691149689113029
2024-05-02 12:00:00;220.5;232.004;278.397;0.833356681286077
2024-05-02 13:00:00;211.0;229.985;278.397;0.8261044479645973
2024-05-02 14:00:00;188.5;223.025;278.397;0.8011041785651425
2024-05-02 15:00:00;149.0;197.959;278.397;0.7110672887998074
2024-05-02 16:00:00;89.5;108.145;278.397;0.3884560537649471
2024-05-02 17:00:00;10.5;4.336;278.397;0.0155748804764419
2024-05-02 18:00:00;0.0;0.0;278.397;0.0
2024-05-02 19:00:00;0.0;0.0;278.397;0.0
2024-05-02 20:00:00;0.0;0.0;278.397;0.0
2024-05-02 21:00:00;0.0;0.0;278.397;0.0
2024-05-02 22:00:00;0.0;0.0;278.397;0.0
2024-05-02 23:00:00;0.0;0.0;278.397;0.0
2024-05-03 00:00:00;0.0;0.0;278.397;0.0
2024-05-03 01:00:00;0.0;0.0;278.397;0.0
2024-05-03 02:00:00;0.0;0.0;278.397;0.0
2024-05-03 03:00:00;0.0;0.0;278.397;0.0
2024-05-03 04:00:00;0.0;0.0;278.397;0.0
2024-05-03 05:00:00;3.0;3.65;278.397;0.0131107734637945
2024-05-03 06:00:00;91.5;127.946;278.397;0.4595811018078499
2024-05-03 07:00:00;171.5;233.258;278.397;0.8378610401692546
2024-05-03 08:00:00;205.5;214.177;278.397;0.7693222268918127
2024-05-03 09:00:00;207.0;154.161;278.397;0.5537451912197329
2024-05-03 10:00:00;207.0;120.328;278.397;0.4322173011921823
2024-05-03 11:00:00;206.5;123.241;278.397;0.4426807760141093
2024-05-03 12:00:00;199.0;200.805;278.397;0.7212901001088373
2024-05-03 13:00:00;188.0;141.769;278.397;0.5092332173119681
2024-05-03 14:00:00;164.0;193.883;278.397;0.6964263264331152
2024-05-03 15:00:00;124.5;20.781;278.397;0.0746452009181133
2024-05-03 16:00:00;65.5;0.0;278.397;0.0
2024-05-03 17:00:00;6.0;0.0;278.397;0.0
