nom_estado;nom_pontoconexao;nom_modalidadeoperacao;nom_tipousina;nom_usina_conjunto;din_instante;val_geracaoprogramada;val_geracaoverificada;val_capacidadeinstalada;val_fatorcapacidade
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-01 00:00:00;0.0;0.0;278.397;0.0
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-01 01:00:00;0.0;0.0;278.397;0.0
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-01 02:00:00;0.0;0.0;278.397;0.0
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-01 03:00:00;0.0;0.0;278.397;0.0
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-01 04:00:00;0.0;0.0;278.397;0.0
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-01 05:00:00;28.5;13.98;278.397;0.0502160583626978
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-01 06:00:00;146.0;109.724;278.397;0.3941278102853119
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-01 07:00:00;216.0;181.696;278.397;0.6526507110349608
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-01 08:00:00;231.5;217.577;278.397;0.7815350021731556
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-01 09:00:00;236.0;253.333;278.397;0.9099702942201244
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-01 10:00:00;242.0;227.394;278.397;0.8167975948016681
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-01 11:00:00;237.5;204.691;278.397;0.7352485838568662
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-01 12:00:00;225.5;183.063;278.397;0.6575609650966066
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-01 13:00:00;214.5;186.724;278.397;0.670711250480429
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-01 14:00:00;203.0;129.377;278.397;0.4647212434042033
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-01 15:00:00;169.0;177.074;278.397;0.6360485206377942
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-01 16:00:00;93.5;37.031;278.397;0.1330150827774724
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-01 17:00:00;3.5;1.167;278.397;0.0041918555156844
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-01 18:00:00;0.0;0.0;278.397;0.0
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-01 19:00:00;0.0;0.0;278.397;0.0
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-01 20:00:00;0.0;0.0;278.397;0.0
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-01 21:00:00;0.0;0.0;278.397;0.0
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-01 22:00:00;0.0;0.0;278.397;0.0
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-01 23:00:00;0.0;0.0;278.397;0.0
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-02 00:00:00;0.0;0.0;278.397;0.0
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-02 01:00:00;0.0;0.0;278.397;0.0
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-02 02:00:00;0.0;0.0;278.397;0.0
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-02 03:00:00;0.0;0.0;278.397;0.0
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-02 04:00:00;0.0;0.0;278.397;0.0
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-02 05:00:00;29.0;19.968;278.397;0.0717249108287804
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-02 06:00:00;142.0;141.218;278.397;0.5072540293178446
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-02 07:00:00;206.0;157.903;278.397;0.5671864280146696
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-02 08:00:00;218.0;108.164;278.397;0.3885243016268135
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-02 09:00:00;226.0;160.538;278.397;0.5766513288577103
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-02 10:00:00;231.0;183.269;278.397;0.6583009155989468
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-02 11:00:00;228.0;168.295;278.397;0.604514416462821
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-02 12:00:00;217.5;145.429;278.397;0.5223799107030607
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-02 13:00:00;208.0;132.127;278.397;0.4745992234111718
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2023-11-02 14:00:00;203.0;128.732;278.397;0.462404408093478
