val_geracaoprogramada;val_geracaoverificada;val_capacidadeinstalada;val_fatorcapacidade
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.5;0.0;278.397;0.0
39.0;18.254;278.397;0.0655682352898917
120.5;94.304;278.397;0.3387392823916924
175.0;173.493;278.397;0.6231855946723563
199.5;251.709;278.397;0.9041368980269184
207.5;267.096;278.397;0.9594068901604544
211.0;249.647;278.397;0.8967302090180569
207.5;260.269;278.397;0.9348843557940638
182.5;256.188;278.397;0.9202254334637227
136.0;236.894;278.397;0.8509215257348319
86.5;59.882;278.397;0.2150957086462856
41.5;23.011;278.397;0.0826553447055823
6.5;1.443;278.397;0.005183245509111
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
2.0;2.425;278.397;0.0087105823697812
82.0;42.054;278.397;0.1510576622592915
154.0;98.215;278.397;0.3527875659579665
167.0;262.776;278.397;0.9438894815676891
158.0;266.895;278.397;0.9586848996217632
158.0;176.199;278.397;0.6329055269992133
162.0;228.856;278.397;0.8220490881726455
151.0;218.004;278.397;0.783068783068783
127.0;201.433;278.397;0.7235458715431559
98.0;122.415;278.397;0.439713790019289
57.0;152.899;278.397;0.5492120963947168
14.5;59.945;278.397;0.2153220041882635
4.0;4.428;278.397;0.0159053438075841
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.5;0.017;278.397;6.10638764067e-05
34.0;97.199;278.397;0.3491381013444828
112.0;252.792;278.397;0.908027026153299
164.5;263.968;278.397;0.9481711369016188
186.5;173.328;278.397;0.6225929158719382
195.0;185.934;278.397;0.6678735762238817
204.5;227.513;278.397;0.8172250419365151
213.5;243.42;278.397;0.8743628702895505
197.0;208.861;278.397;0.7502271935401602
152.0;73.903;278.397;0.2654590387109056
93.0;16.135;278.397;0.0579568026954313
32.0;0.056;278.397;0.0002011515928691
5.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.5;0.0;278.397;0.0
47.0;14.451;278.397;0.0519078869384368
127.5;62.695;278.397;0.2251999841952319
170.5;66.192;278.397;0.237761182771366
186.0;150.218;278.397;0.539581963886105
192.5;198.112;278.397;0.7116168636874678
203.5;168.599;278.397;0.6056063822526823
209.0;144.58;278.397;0.5193303088754548
188.0;173.573;278.397;0.6234729540907409
141.5;118.266;278.397;0.4248106121833209
88.5;61.111;278.397;0.2195102677112181
34.0;24.583;278.397;0.0883019572768384
4.5;3.265;278.397;0.0117278562628189
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
2.5;0.233;278.397;0.0008369343060449
79.0;15.275;278.397;0.0548676889477975
161.5;54.041;278.397;0.1941148791114846
191.5;83.328;278.397;0.2993135701893339
194.5;154.153;278.397;0.5537164552778945
196.0;187.44;278.397;0.6732831172749706
202.0;176.133;278.397;0.6326684554790462
207.5;221.466;278.397;0.795504261899374
184.0;153.199;278.397;0.5502896942136589
135.0;205.376;278.397;0.7377090988767838
79.5;59.546;278.397;0.2138887990890706
28.0;3.321;278.397;0.0119290078556881
3.5;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
1.5;0.726;278.397;0.0026077867218396
67.0;24.53;278.397;0.0881115816621587
151.0;116.958;278.397;0.4201122856927337
187.5;158.722;278.397;0.5701282700603812
196.0;161.007;278.397;0.5783359734479897
200.0;171.376;278.397;0.6155813460633555
204.0;155.744;278.397;0.559431315711017
200.5;153.629;278.397;0.5518342510874757
173.5;106.201;278.397;0.3814732198982029
126.5;17.412;278.397;0.0625437774113945
70.5;2.115;278.397;0.0075970646235412
20.5;3.515;278.397;0.0126258544452706
3.0;0.831;278.397;0.0029849459584693
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
2.5;0.901;278.397;0.0032363854495558
84.0;19.808;278.397;0.0711501919920114
154.5;115.662;278.397;0.4154570631149042
178.0;215.176;278.397;0.7729106276288896
178.5;223.665;278.397;0.8034030539122188
184.5;200.941;278.397;0.721778611120091
196.5;221.9;278.397;0.79706318674411
204.0;183.415;278.397;0.6588253465374986
182.0;169.948;278.397;0.6104519804451916
144.0;191.452;278.397;0.6876941921069551
99.5;200.684;278.397;0.7208554689885307
42.5;64.185;278.397;0.2305520533626439
4.0;2.52;278.397;0.0090518216791129
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
2.0;2.233;278.397;0.0080209197656583
69.0;84.762;278.397;0.3044644877638767
148.5;245.429;278.397;0.8815791836837322
180.5;269.387;278.397;0.9676361455044414
188.0;229.115;278.397;0.8229794142896654
192.0;198.184;278.397;0.7118754871640139
196.0;205.171;278.397;0.7369727403671734
200.0;246.064;278.397;0.8838600990671595
180.5;186.279;278.397;0.669112813715665
134.0;139.632;278.397;0.5015571288483712
74.0;13.113;278.397;0.0471018006659554
20.0;0.0;278.397;0.0
3.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
