val_geracaoprogramada;val_geracaoverificada;val_capacidadeinstalada;val_fatorcapacidade
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
1.0;1.616;278.397;0.0058046602513676
72.0;103.258;278.397;0.3709019852943817
177.5;248.971;278.397;0.8943020219327076
232.5;273.609;278.397;0.9828015388096853
240.5;272.772;278.397;0.9797950408948372
241.0;259.356;278.397;0.9316048664317504
240.5;246.654;278.397;0.8859793747777454
233.0;242.381;278.397;0.8706307898432813
226.0;224.218;278.397;0.8053894258918018
209.0;204.847;278.397;0.7358089347227161
168.5;197.365;278.397;0.7089336451183021
95.0;82.349;278.397;0.2957970093068531
12.5;9.909;278.397;0.0355930559596547
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
3.0;1.139;278.397;0.0040912797192498
101.0;67.654;278.397;0.2430126761423434
211.0;243.282;278.397;0.8738671752928372
250.0;246.894;278.397;0.886841453032899
250.0;230.108;278.397;0.8265462630703635
250.0;220.859;278.397;0.7933239223123812
250.0;216.681;278.397;0.7783165766872487
248.5;239.555;278.397;0.8604798183888475
235.0;237.616;278.397;0.8535149444857523
196.0;228.58;278.397;0.8210576981792188
152.0;145.685;278.397;0.5232994608418912
99.5;140.129;278.397;0.5033423492350851
11.0;20.791;278.397;0.0746811208454114
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
2.0;1.204;278.397;0.0043247592466872
85.0;101.734;278.397;0.3654277883741563
208.0;233.162;278.397;0.8375162088671932
255.0;183.709;278.397;0.6598813924000617
255.0;197.074;278.397;0.7078883752339284
255.0;227.814;278.397;0.818306231748187
255.0;223.739;278.397;0.8036688613742246
255.0;222.277;278.397;0.7984173680032471
255.0;210.904;278.397;0.7575656346871553
252.5;195.247;278.397;0.7013258045165716
210.0;184.093;278.397;0.6612607176083075
122.0;115.636;278.397;0.4153636713039292
15.5;22.003;278.397;0.0790346160339371
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.5;1.309;278.397;0.0047019184833169
88.0;80.479;278.397;0.2890799829021146
221.0;193.788;278.397;0.6960850871237836
241.0;203.281;278.397;0.7301838741078388
242.0;232.999;278.397;0.8369307140522347
242.0;232.618;278.397;0.8355621648221783
242.0;228.943;278.397;0.8223615915401387
242.0;230.603;278.397;0.8283242994716178
227.5;224.598;278.397;0.8067543831291285
202.5;209.606;278.397;0.7529032281238662
162.5;184.934;278.397;0.664281583494075
91.0;156.11;278.397;0.5607459850501262
12.0;31.284;278.397;0.1123719005592732
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
2.0;0.352;278.397;0.0012643814408919
65.0;60.125;278.397;0.2159685628796287
155.0;218.331;278.397;0.7842433646914297
180.0;141.347;278.397;0.5077173963799897
180.0;201.916;278.397;0.7252808040316526
180.0;151.312;278.397;0.5435116039325136
180.0;204.714;278.397;0.7353311996896518
174.5;147.179;278.397;0.5286658979802225
170.0;212.696;278.397;0.764002485658969
114.5;127.236;278.397;0.4570307869696871
50.5;150.843;278.397;0.5418269593422342
21.0;16.155;278.397;0.0580286425500274
8.5;1.466;278.397;0.0052658613418966
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
1.5;1.328;278.397;0.0047701663451833
84.5;64.758;278.397;0.2326102651968232
191.0;223.124;278.397;0.8014597858453933
202.0;178.157;278.397;0.6399386487641749
202.0;156.883;278.397;0.5635225954302668
202.0;181.634;278.397;0.6524280074857128
202.0;100.285;278.397;0.3602229909086664
202.0;89.793;278.397;0.3225358031875343
202.0;127.606;278.397;0.4583598242797156
201.0;122.96;278.397;0.4416714260570336
190.0;100.802;278.397;0.3620800511499764
138.0;16.034;278.397;0.0575940114297208
25.0;0.295;278.397;0.0010596378552929
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
1.0;0.091;278.397;0.0003268713384124
89.0;58.831;278.397;0.2113205242872588
201.5;193.965;278.397;0.6967208698369594
202.0;248.901;278.397;0.8940505824416211
205.0;264.838;278.397;0.9512961705765508
205.0;209.347;278.397;0.7519729020068463
205.0;246.855;278.397;0.8867013653164365
205.0;211.514;278.397;0.7597567502523374
205.0;227.516;278.397;0.8172358179147045
205.0;162.115;278.397;0.5823159013926155
202.5;87.373;278.397;0.313843180781402
100.5;89.454;278.397;0.3213181176521298
18.5;11.231;278.397;0.0403416703484592
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
2.0;1.311;278.397;0.0047091024687766
84.0;106.379;278.397;0.3821125946041085
178.0;248.95;278.397;0.8942265900853816
220.5;261.086;278.397;0.937819013854316
228.0;246.544;278.397;0.8855842555774667
226.0;260.023;278.397;0.9340007255825314
225.0;259.081;278.397;0.9306170684310534
222.5;243.715;278.397;0.8754225081448435
206.5;258.45;278.397;0.9283505210185454
168.5;238.042;278.397;0.85504513338865
124.0;184.697;278.397;0.6634302812171108
73.0;86.1;278.397;0.3092705740363581
11.0;2.68;278.397;0.0096265405158819
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
